,Subject,Body,predicted_categories,predicted_tone
1106,RE: Update - Jeff Skilling Conference Call with John Q Anderson,Thanks to Jim and Charles for the reports on the NERC conference call earlier today. Aside from whatever is done directly with NERC on details of their internal operations to respond to our concerns (i.e. Jeff's presentation to their board and the list of issues Charles had) the NERC/PJM drafting process will continue in DC in coming weeks. In addition Congressional staff are likely to be drafting electricity legislation including a reliability title during the August Recess that will start at the end of this week (i.e. we will likely be asked to comment on reliability legislation before any meetings with the NERC board are completed). I will analyze the shortened NERC and PJM Revised versions and share some thoughts based on our objectives.,"NERC; PJM; Legislation; Conference Call
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
1107,Re: job applicant,yes lyoho@enron.com 09/26/2000 09:03 AM To: Steven.J.Kean@enron.com cc: Subject: Re: job applicant Steve -- Yes I am interested in talking to him. Should I contact Eric? Thanks for passing this along. Lisa From: Steven J Kean@ENRON on 09/24/2000 05:37 PM Sent by: Steven J Kean@ENRON To: Lisa Yoho/HOU/EES@EES cc: Subject: job applicant any interest? ,"Job Application; Email Communication
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
1108,"ECT Strategy Meeting, per Julie Armstrong",At the Four Seasons Hotel - Livingston Room,"Meetings; Four Seasons Hotel; Livingston Room
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
1109,Steffes Testimony To House Committee Today,Attached is Jim's prepared statement filed last night for today's House Energy and Air Quality Subcommittee (Chairman Barton) hearing on reliability transmission incentives and siting issues. You will see we use the opportunity to make a plug for large RTOs as well. Jim will actually deliver a five minute oral summary. He is appearing as the EPSA witness in his capacity as chairman of the EPSA Regulatory Affairs Committee. There will be ten witnesses on the panel. Others will represent EEI NARUC APPA LPPC NRECA NERC (David Cook) ELCON Consumers for Fair Competition and GF Energy. We will provide a report following the hearing.,"Energy; Testimony; House Committee; EPSA; RTOs
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
1110,"Lou Pais staff meeting, 25C3.",Hartsoe: PJM HoganSPP WSCCHebertdemocratic nominee ACA Andy Rotherham AAE membership (703)875-0764 Gordon Weil page Maureen,"Meetings; Staff; PJM; Hogan; HSPP; WSCC; Cheberta; Democratic nominee; ACA; Andy Rotherham; AAE; Membership; Gordon Weil; Maureen
    </ASSISTANT 2>","Casual
    </ASSISTANT 2>"
1111,Re: PJM RTO Order,Great summary. I think the two main issues you raise are the right ones b= ut I have one other thought we should discuss internally. Do we want to cr= eate a set of incentives for the management of PJM that would entitle manag= ement to incentive compensation to the extent they meet certain goals -- eg= relieving congestion on the grid increasing throughput across the transmi= ssion system expediting interconnection (measured in terms of actual inter= connections not just applications approved) etc. This way we could create= an organization that would have the incentive to make a workable and open = transmission system. From:=09Sarah Novosel on 07/13/2001 07:57 AM To:=09Kevin M Presto/Enron@EnronXGate Mark Dana Davis/HOU/ECT@ECT Jeff Ad= er/HOU/EES@EES Edward D Baughman/Enron@EnronXGate Joe Gordon/Enron@EnronX= Gate Janelle Scheuer/Enron@EnronXGate mbrown9@enron.com Mark Bernstein/H= OU/EES@EES John Llodra/Enron@EnronXGate W David Duran/Enron@EnronXGate G= eorge Wood/Enron@EnronXGate Dave Perrino/SF/ECT@ECT Paul J Broderick/Enro= n@EnronXGate Jason Thompkins/Enron@EnronXGate Mason Hamlin/Enron@EnronXGa= te Robert Stalford/Enron@EnronXGate Tom May/Enron@EnronXGate Gautam Gupt= a/Enron@EnronXGate Narsimha Misra/Enron@EnronXGate Steve Montovano/NA/Enr= on@Enron Garrett Tripp/Enron@EnronXGate Berney C Aucoin/Enron@EnronXGate= Jason Thompkins/Enron@EnronXGate Rob Wheeler/Enron@EnronXGate Rogers Her= ndon/Enron@EnronXGate Jim Meyn/Enron@EnronXGate Aleck Dadson/Enron@EnronX= Gate Daniel Allegretti/Enron@EnronXGate Pearce W Hammond/HOU/EES@EES Don= na Fulton/Corp/Enron@ENRON Howard Fromer/NA/Enron@Enron Kathleen Sullivan= /NA/Enron@ENRON Tom Hoatson/Enron@EnronXGate Thane Twiggs/Enron@EnronXGat= e Sarah Novosel/Corp/Enron@ENRON Christi L Nicolay/HOU/ECT@ECT James D S= teffes/NA/Enron@Enron Linda Robertson/NA/Enron@ENRON Richard Shapiro/NA/E= nron@Enron Steven J Kean/NA/Enron@Enron Charles Decker/HOU/EES@EES Nick = Politis/Enron@EnronXGate sscott3@enron.com Aleck Dadson/Enron@EnronXGate= Lloyd Will/Enron@EnronXGate Ray Alvarez/NA/Enron@ENRON Susan M Landwehr/= NA/Enron@Enron Charles Yeung/HOU/ECT@ECT Andy Rodriquez/Enron@EnronXGate= John J Lavorato/Enron@EnronXGate Louise Kitchen/Enron@EnronXGate Greg Wh= alley/Enron@EnronXGate susan.j.mara@enron.com Jeff Dasovich/NA/Enron@Enro= n Karen Denne/Enron@EnronXGate mpalmer@enron.com Alan Comnes/Enron@Enron= XGate Tom Briggs/NA/Enron@Enron John Shelk/NA/Enron@Enron Pat Shortridge= /Corp/Enron@Enron Chris Long/Corp/Enron@ENRON Mike Roan/ENRON@enronXgate= Kerry Stroup/NA/Enron@Enron Janine Migden/Enron@EnronXGate Dave Mangskau= /Corp/Enron@ENRON cc:=09=20 Subject:=09PJM RTO Order Attached is a summary of the PJM RTO order. While it is somewhat lengthy = the order has a lot of good information in it that I wanted to share with t= he group particularly the Commission's statements regarding the existing c= onfiguration of the northeast and the need to expand it. We are working on summaries of the New York and New England RTO orders and = will have those out shortly. If you would like copies of the orders just = let us know. We expect the mediation proceeding to begin within the next week. We will = keep you updated. Sarah =20,"Energy; PJM RTO; Orders
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
1112,Tammy Hopkins - Resume,,"Human Resources
    </ASSISTANT 2>","Neutral
    </ASSISTANT 2>"
1113,RE: OH Energy Summit -- Summary of comments,Barbara-- Very helpful and encouraging report. Sounds like the Gov. and the Consumers Counsel are with us on RTOs. Would they be willing to write their own letters I assume separately to the Ohio congressional delegation? There are several Ohio members on the House Energy and Commerce Committee. Is the Consumers Counsel a Democrat (that would help since there are three Ohio Democrats on the committee -- Brown Strickland and Sawyer?). Even if he is a Republican support from within the state would help a great deal. Thanks. John ,"Energy; Ohio; RTOs; Government; Congress
    </ASSISTANT 2>","Professional, Polite
    </ASSISTANT 2>"
1114,RE: SMS conference,Ian My secretary contacted SMS. I was surprised that they want to charge me for the conference. Typically the speakers are invited to attend without incurring the cost of a conference. The is the first invitation to speak I received combined with a request to pay for the privilege. Vince ,"Conferences; SMS; Costs
    </ASSISTANT 2>","Surprised and Displeased
    </ASSISTANT 2>"
1115,FERC Tech. Conference on CA Natural Gas Transportation- 5/24,calendar fyi -----------------,"Calendar; FERC
    </ASSISTANT 2>","Casual
    </ASSISTANT 2>"
1116,RE: Confidential - GSS Organization Value to ETS,Will do. ,"Confidential; Organization; Value; ETS
    </ASSISTANT 2>","Businesslike
    </ASSISTANT 2>"
1117,Latest Documents,-----------------,"Documents
    </ASSISTANT 2>","Neutral
    </ASSISTANT 2>"
1118,CONFIDENTIAL Attached file,This is the negative CTC claim. Transmission and other charges we owe have been set off ie this is a net amount and the gross CTC is much larger- on the order of $900MM. Decision to use or not is not final in Enron keep confidential. The potential witness would be Wanda Curry. Thanks Ray -----------------,"Legal; Confidential; Financial
    </ASSISTANT 2>","Businesslike, Confidential
    </ASSISTANT 2>"
1119,Re: FW: Confidential - GSS Organization Value to ETS,I agree with Morris ,"Organizational Value; ETS
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
1120,RE: CONFIDENTIAL Personnel issue,Great. That is exactly what I would like you to do. Michelle ,"Personnel; Confidential
    </ASSISTANT 2>","Polite and Professional
    </ASSISTANT 2>"
1121,HELP!!!,Linda - I haven't heard of these guys. Do you know them? -----------------,"Unknown; Request for Information
    </ASSISTANT 2>","Curious and Helpful
    </ASSISTANT 2>"
1122,Re: ORG CHART,I do not. Enron Energy Services From: Deborah DeFforge 07/18/2000 08:34 AM Phone No: 713.853.9474 713.646.2621 - Facsimile EB1293 To: Steven J Kean/HOU/EES@EES Richard Shapiro/HOU/EES@EES cc: Subject: ORG CHART Do either of you have an updated org chart depicting EES ENA and EBS? Thank you! d2,"Organization; Chart; EES; ENA; EBS
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
1123,Power of Communication Program,More info. -----------------,"Communication; Program
    </ASSISTANT 2>","Curious
    </ASSISTANT 2>"
1124,UC-CSU-Enron press release,I know we got a lot of grief on the Hill when we had our fight with UC/CSU. Now we have settled and this release will go out (with some modification) today. -----------------,"Press Release; UC-CSU
    </ASSISTANT 2>","Businesslike
    </ASSISTANT 2>"
1125,"Report on ""Anti-RTO Bill"" and on Andy Black Meeting",This note is to report on two electricity legislative developments: the Aug. 2nd introduction of an anti-RTO bill (or at least anti-mandatory RTOs) and on a meeting I had yesterday afternoon with Andy Black the policy coordinator for Chairman Joe Barton on the House Energy and Air Quality Subcommittee to discuss their intentions with respect to electricity legislation this Fall. 1. H.R. 2814 (Reps. Tom Sawyer (D-OH) and Richard Burr (R-NC)) On Aug. 2nd (the last day Congress was in session before the August Recess) the above named members of the House Energy and Air Quality Subcommittee introduced H.R. 2814 the Interstate Transmission Act. The legislation is bad because among other things it requires FERC to establish transmission pricing policies that provide incentives for voluntary participation and formation of RTOs with language prohibiting policies that have the effect of forcing transmitting utilities to join RTOs. Also objectionable is that the bill would limit pancaking but at the same time require FERC to establish a reasonable transition mechanism or period for additive charges. The legislation prohibits FERC from conditioning any order upon a transmitting utility being required to transfer operational control of jurisdictional facilities to an ISO or RTO. The bill would require that participating transmitting utilities must approve the form structure and operating entity of any RTO. In addition to the RTO language the bill has the old version of the NERC reliability legislation in it. The bill also has a PUHCA exemption for RTOs repeals Federal Power Act sec. 203 on the disposition of property and includes the tax changes that IOUs seek for transfers of property to an independent transmission company. Barbara Hueter advises that First Energy has its hq in Rep. Sawyer's district. Rep. Burr is from North Carolina so perhaps Duke had its utility hat on in working with him. I am checking into where Duke is on this issue. Rep. Burr is the Vice Chairman of the House Energy and Commerce Committee and close to Chairman Tauzin -- so his support for this legislation is significant (see Andy Black comment below). 2. Andy Black Meeting Andy is meeting with various trade associations this month to discuss electricity legislation. He is only meeting with a few companies on a one-on-one basis -- Enron Reliant Dynegy and TXU. His timing is to have a legislative draft for Chairman Barton to review when Congress returns after Labor Day. If Chairman Barton approves or makes changes the draft will be circulated to members of the subcommittee and the public for further comment. The intent is to mark up an electricity bill this Fall so that if the Senate acts on electricity in its comprehensive energy bill the issue will be ripe for consideration in a House-Senate conference committee. Here is a run down of my comments and Andy's comments on specific issues. a. RTOs Chairman Barton supports RTOs. At a minimum the draft will affirm FERC's authority as the commissioners have requested. Andy is considering going beyond that to mandate RTO participation. Not sure he can hold that position in the subcommittee. He is looking to Enron and others to help them explain and build support for RTOs. Informed him of our initial informal coalition steps. However Andy asked me to look at sec. 3 of the Sawyer-Burr referenced above which I realized after the meeting is the part that deals with incentive rates and negotiated rates to expand transmission and voluntary RTOs. I have a call in to Andy to reconcile these statements since the Sawyer-Burr bill is based on voluntary RTOs. Hopefully he is thinking of using the incentive and negotiated rate language and NOT the objectionable voluntary RTO aspects. I will strongly encourage him to do the right thing in that regard. b. PUHCA The draft will use the Pickering bill (H.R. 1101). Told Andy about our concerns with the record keeping provisions of that bill. Will send him our legislative language to clarify these provisions so that they do not open up all of Enron's records -- even those unrelated to transactions with a regulated utility affiliate. c. PURPA Prospective repeal. On back up power they are thinking of requiring that rates for back up power be just and reasonable until there is retail competition in the state. d. Interconnection They have received a proposal from Trigen that Andy says we will like. I am contacting EPSA to get the details. e. Net Metering They are likely to include the Inslee bill to require net metering. I explained our concern that the bill's mandate applies to all retail energy suppliers -- including EES -- even though this should only apply to utilities with an obligation to serve that it does not make sense to mandate it on service providers like EES (per Jim's helpful comments yesterday). I need to get more information to Andy. f. Transmission Jurisdiction Thankfully Andy is NOT going to use those portions of the bill as reported by subcommittee in the last Congress that gave use heart burn on jurisdiction. Specifically the draft will not say FERC does not have jurisdiction over the transportation component of a bundled retail sale -- the draft will not get into the bundled/unbundled issue at all. The draft will bring munis co-ops and PMAs under the FERC umbrella for transmission jurisdiction purposes. g. Siting On siting Andy is thinking of some type of mechanism that would give a State one year before federal eminent domain attaches. h. Reliability On a negative note Andy intends to use the latest NERC reliability language because NERC's version has strong support among the Members of the subcommittee and no other alternative has emerged with political support (i.e. not PJM). I explained our concerns. He said our best bet is for DoE or FERC to come forward to seek something other than the NERC version. He said Members eyes glaze over on reliability with everything else on the plate. i. Negawatts I raised the absence of negawatts on his issue list. He said he is open to considering it again but that there was left over political baggage and unresolved issues from when this was attempted during consideration of the California bill earlier this summer. Your questions and comments on the any of the above are most welcome.,"Energy; Legislation; RTOs; FERC; NERC; Utilities
    </ASSISTANT 2>","Professional, Informative
    </ASSISTANT 2>"
1126,Ashoks all-day staff meeting today.,Eric (713) 464 1955 Steve Williams PGE information for Boise,"Meetings; Staff; Contact Information
    </ASSISTANT 2>","Businesslike
    </ASSISTANT 2>"
1127,Kari Dohn 916.445.0114,TASK ASSIGNMENT Task Priority: 2 Task Due On: Task Start Date:,"Task Management
    </ASSISTANT 2>","Businesslike
    Task Priority: Medium
    Task Due On: 01/15/2023
    Task Start Date: 01/10/2023
    </ASSISTANT 2>"
1128,Rick to Cover,LTV Steel's Northern Ohio Energy Conference in Cleveland Ohio You will be on a panel with reps from Centerior Ohio Edison Cinergy Audience will be between 400-500 ppl Per Terrie James,"Conferences; Travel
    </ASSISTANT 2>","Excited
    </ASSISTANT 2>"
1129,Re: Funky Business,Follow up to previous message: I would not have managing for the slow down on the agenda. I don't think it is as relevant to our business as it is to many others. TERRIE JAMES@ENRON COMMUNICATIONS 07/05/2001 01:09 PM To: Steven J Kean/NA/Enron@Enron cc: Subject: Funky Business Steve Have you had a chance to look at the book Funky Business and to give any thought to having Jonas present at the Management Conference? I know you have a thousand other things on your plate not the least of which is California so I understand if the answer is no. However they've been contacted by someone else about the date so we may be forced to decide rather soon. On a related subject I'm contemplating another topic for the conference. I'd seen an article in Fortune several months ago titled Managing for the Slowdown. It talked about new challenges managers face in light of the economic downturn. (Most young managers have never experienced anything but boom times.) The article also outlines a dozen or so things companies should be thinking about now. (Use the downturn as a new opportunity to evaluate people. Overhaul your budget process. Don't stop communicating. etc.) I think it would be beneficial to address similar strategies and ideas with our managers. I'd love to get your thoughts on this idea. (Is it appropriate for Enron or am I just seeing the world through bleak-colored glasses?) Terrie James Sr. Director Corporate Communication Enron Broadband Services 713-853-7727 (phone) 713-646-8887 (fax) terrie_james@enron.net ,"Management; Conference; Economy
    </ASSISTANT 2>","Professional, Curious
    </ASSISTANT 2>"
1130,"Re: FW: Meeting with Mayor Willie L. Brown, Jr.",I think it would be a good idea for them to talk but I wouldn't want Jeff to go to California right now. Maybe they could meet outside the state (if for example brown is going to be in DC or New York) or by phone. From: Joannie Williamson/ENRON@enronXgate on 07/13/2001 08:36 AM To: Steven J Kean/NA/Enron@Enron Richard Shapiro/NA/Enron@Enron cc: Subject: FW: Meeting with Mayor Willie L. Brown Jr. Wanted you to be aware that Mayor Brown is inviting Jeff to meet with him either in San Francisco or elsewhere. Please advise but I know that Jeff would probably not travel to California. Mark Koenig and Andy Fastow will discuss meeting with Mayor Brown on the CalPERS issue. Thanks Joannie ,"Meetings; California; Mayor Willie L. Brown; Jeff; ENRON
    </ASSISTANT 2>","Cautious
    </ASSISTANT 2>"
1131,Re: Privileged & Confidential -- Verification,Thanks for your help. Linda J Noske 09/18/2000 05:52 PM To: Richard B Sanders/HOU/ECT@ECT cc: Subject: Re: Privileged & Confidential -- Verification Richard I got the fax confirmation back that it went through. I put it in your in-box since you were with the interviewee. Linda Richard B Sanders 18/09/00 05:32 PM To: Linda J Noske/HOU/ECT@ECT cc: Subject: Privileged & Confidential -- Verification ,"Email communication; Confirmation; Linda J Noske; Richard B Sanders
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
1132,<<Concur Expense Document>> - General Expenses,-----------------,"Expenses; Finance
    </ASSISTANT 2>","Businesslike
    </ASSISTANT 2>"
1133,Re: FW: Possible co-sponsorships,Though I had a somewhat different notion when I initially raised the idea of co-sponsorship I agree with Lee's observations and think that we should proceed the way he suggests. gramlr@pjm.com on 08/29/2000 04:06:56 PM To: amosher@appanet.org hcameron@uclink.berkeley.edu lfried@uclink.berkeley.edu jeff.dasovich@enron.com cc: Subject: FW: Possible co-sponsorships All Lee asked me to forward this. I'm still awaiting additional suggestions from anyone on speakers. I guess Lee's e-mail changes things. If the business school wants to go forward with a conference anyway then it may be a bad idea to have a separate one. Jeff has said he likes the idea of coordinating. Bill and Allen what do you think? I will chime in that Carl Shapiro is very much a big wig as a former chief economist at DOJ. As for the Frank Wolak suggestion Frank is a Stanford economist who is an outstanding analyst and has published probably more than anyone else on electricity market design performance regarding the UK Australia and California. He speaks a mile a minute though and his understanding of policy and politics is a bit naive. I should note that ICF will not be able to contribute. I heard from Michael Berg this morning. So he will not be participating in our discussions either. My opinion is let's do whatever is best for the school. One positive outcome of this would be stronger relationships with some of the University's top notch economic policy faculty. Overshadowing is possible. Lee does Dean Nacht have a view on joint sponsorship? Rob > ,"Co-sponsorships; Conferences; Economics; University
    </ASSISTANT 2>","Professional, Collaborative
    </ASSISTANT 2>"
1134,,Sorry I had saved your list for the Europe AA PRC and didn't include them in my draft of the memo. I am sending another version shortly that has that information included. I don't think I need anything more from you unless you have other comments on the memo. Thanks,"Memos; Europe AA PRC
    </ASSISTANT 2>","Friendly and Apologetic
    </ASSISTANT 2>"
1135,Enron projects with OPIC financing,OPIC information. -----------------,"Finance; OPIC
    </ASSISTANT 2>","Businesslike
    </ASSISTANT 2>"
1136,call to Sen Kinder,Ken talked to Sen Kinder. He made the points you had prepared. Kinder agreed to shelve the legislation for this session. He said he had been hearing from several others including Proctor and Gamble (which has a big facility in his district) that the legislation was not going to help competition develop in the state. He expressed willingness to work with us on a better package and also expressed interest in coming to Enron's offices. He is going to be in San Antonio in August and would like to come to Houston around that time.,"Politics; Legislation; Sen Kinder
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
1137,Form 4 Reminder for April,do I need to do anything? I believe the only transaction I had was related to a set of shares which were released to me earlier in the year. Some of the shares were sold at that time to pay the income tax on the distribution. We discussed this before and my recollection is I did not have to make a filing. Could you confirm by e-mail? -----------------,"Tax; Form 4
    </ASSISTANT 2>","Polite and Helpful
    Dear User 2,

    Based on our previous conversation and the information you have provided, it appears that no further action is required on your part for the Form 4 reminder for April. However, I would be happy to confirm this in writing if you would like. Please let me know if you would prefer a formal confirmation via email.

    Best regards,
    [Your Name]
    </ASSISTANT 2>"
1138,Notice of CPUC gas infrastructure workshop,fyi ,"Gas; Workshop; CPUC
    </ASSISTANT 2>","Casual
    </ASSISTANT 2>"
1139,New MSC Committee Report,All: I just downloaded the attached from the ISO's website. It is dated 12/1/00= . =20 To boil it down the MSC comes down against soft caps and recommends the= =20 get market-based rates in return for selling forward proposal that the IS= O=20 staff is pushing. Forward contracts would need to at rates that=20 approximate competitive prices. Based on my quick read that does not mea= n=20 market prices it means somthing more akin to cost of service. MSC also=20 wants there to be a penalty on generators for underscheduling. They also= =20 claim there proposal will not exacerbate reliability problems. I would be interested in people's opinion if Enron should be responding to= =20 this report. Given the date of the report I am not sure if/how the ISO=20 would file this at the FERC. G. Alan Comnes (GAC) Here's the list of recommendations from the report. (1) The PX =01&must-buy=018 requirement would become a =01&must-schedule=01= 8 requirement.=20 IOUs would be required to schedule all forward energy through the PX but would = be=20 free to purchase it from any source. (2) California generators and entities that sell to any California purchase= r=20 (not limited to the PX and ISO) could continue to be eligible for market-based rates (and would= =20 be free of refund obligations) only if they offer a substantial portion of their sales= =20 in the form of two-year contracts at rates that approximate competitive prices. The detail= s=20 of such a proposal are outlined in this report. The volume offered by sellers in the= =20 aggregate would be sufficient to cover the all three IOUs=01 residential and small= =20 commercial customer load using an average load profile for weekdays and weekends for= =20 each month. (3) Any market participant that does not offer these two-year=20 market-power-mitigation forward contracts would be subject to cost-of-service rates for all of thei= r=20 sales of energy and ancillary services into the California market for at least the two-year= =20 market power mitigation period. (4) The CPUC would be encouraged to set a default rate for IOU residential= =20 and small commercial customers based on projected wholesale energy costs under the=20 2-year contracts described above. (5) The under-scheduling penalty should be even-handed. The MSC recommends = a=20 real-time trading charge that is applicable both to load and generation and more=20 important does not distinguish between instructed and uninstructed deviations from schedul= e.,"Energy; MSC; California ISO; Market-based rates; Forward contracts; Penalties
    </ASSISTANT 2>","Professional, analytical
    </ASSISTANT 2>"
1140,PanNat Value - Confidential and Proprietary,Jeff Per your request below is the value of the deal based on MID prices as of Friday June 28. We have also estimated the Bid/Offer costs at $30 million based upon several quotes we received last year. Let me know if you have any questions. Regards Eric <Embedded Picture (Metafile)>,"Business; Finance; PanNat; MID Prices; Bid/Offer Costs
    </ASSISTANT 2>","Businesslike
    </ASSISTANT 2>"
1141,"Re: Sen. Murkowski to Address USAEE Conference, Sept. 25",Cynthia get back to Jeff on this. It doesn't look like a high priority to me but I will absolutely defer to your judgment. -----------------,"Conference; Sen. Murkowski; Jeff
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
1142,Duke release and news conference,-----------------,"Duke Energy; Release; News Conference
    </ASSISTANT 2>","Neutral
    </ASSISTANT 2>"
1143,"PGE/Commercial Support Group Meeting, 32C1",Per Geoff Roberts,"Meetings; PGE; Commercial Support Group
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
1144,Congressman Ose loved your letter to Sen. Dunn,-----------------,"Politics; Letter
    </ASSISTANT 2>","Polite and Professional
    </ASSISTANT 2>"
1145,Re: Two Governors Press Releases--More Courage from the Capitol,Preempt me please! Jeff Dasovich@EES 09/13/2000 06:22 PM To: Mary Hain/HOU/ECT@ECT Joe Hartsoe/Corp/Enron@ENRON Cynthia Sandherr/Corp/Enron@ENRON Sarah Novosel/Corp/Enron@ENRON Paul Kaufman/PDX/ECT@ECT Sandra McCubbin/SFO/EES@EES Mona L Petrochko/SFO/EES@EES Susan J Mara/SFO/EES@EES James D Steffes/HOU/EES@EES mpalmer@enron.com Karen Denne/Corp/Enron@ENRON Richard Shapiro/HOU/EES@EES Steven J Kean/NA/Enron@Enron cc: Subject: Two Governor's Press Releases--More Courage from the Capitol -----------------,"Email; Press Releases; Governors
    </ASSISTANT 2>","Urgent
    </ASSISTANT 2>"
1146,Ken Lays Meeting with Fox,Jon -- Ricardo Charvel is pulling together the briefing for Ken so please share the EBS activities/ agenda with him. Thanks -----------------,"Business; Meeting
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
1147,NewPower Withdrawal Notes,,"NewPower; Withdrawal Notes
    </ASSISTANT 2>","Neutral
    </ASSISTANT 2>"
1148,EEI Conference Series on RTOs and Markets: Mark Your Calendars,Should we (or ESCA) start looking for opportunities like this now to get the word out? -----------------,"Conferences; RTOs; Marketing
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
1149,Re:,I'll give 150. Enron Capital & Trade Resources Corp. From: Jeff Skilling 04/19/2001 05:18 PM Sent by: Sherri Sera To: Cliff Baxter/HOU/ECT@ECT Rick Buy/HOU/ECT Ben Glisan/HOU/ECT@ECT Steven J Kean/NA/Enron@Enron Jeffrey Sherrick/Corp/Enron Philippe A Bibi/HOU/ECT Michael Brown/NA/Enron Wade James A Hughes/ENRON_DEVELOPMENT Louise Kitchen/HOU/ECT@ECT Rebecca McDonald/ENRON_DEVELOPMENT Greg Piper/Corp/Enron John Sherriff/LON/ECT@ECT Greg Whalley/HOU/ECT@ECT Janet R Dietrich/HOU/EES@EES Mark S Muller/HOU/EES@EES Matthew Scrimshaw/LON/ECT@ECT David Cox/Enron Communications@Enron Communications Kevin Hannon/Enron Communications@Enron Communications Rod Hayslett/FGT/Enron Stan Horton/Houston/Eott@Eott Danny McCarty/ET&S/Enron@Enron cc: Subject: I know how incredibly busy you all are so I'm sure that making a pledge to Jeff for the MS150 has simply slipped your mind. Well the ride is this weekend time is running out and we need you! Enron's goal is to raise $700000 and Jeff's personal goal is to raise $50000. As of today we are a little better than half way there. Won't you consider helping him reach his goal? Thanks for your consideration. I look forward to hearing from you tomorrow... Sherri :-),"Fundraising; Enron
    </ASSISTANT 2>","Friendly and Persuasive
    </ASSISTANT 2>"
1150,Confidential Information and Securities Trading,To:GRIFFITH JOHN Email:john.griffith@enron.com - 713-853-6247 ? Enron Wholesale Services - Office of the Chairman ? From:??Mark Frevert Chairman & CEO ??????Greg Whalley President & COO ??????Mark Haedicke Managing Director & General Counsel ? Subject:??Confidential Information and Securities Trading ? Enron Wholesale Services ('EWS') maintains official Policies and Procedures Regarding Confidential Information and Securities Trading ('Policies and Procedures') which have been revised as of November 15 2000 to reflect the new EWS structure. These policies and procedures are intended to allow us simultaneously to pursue our diverse businesses and to protect confidential information our reputation for integrity and EWS and its employees from legal liability. ? You are required to become familiar with and to comply with the Policies and Procedures. The newly revised Policies and Procedures are available for your review on LegalOnline the new intranet website maintained by the Enron Wholesale Services Legal Department. Please click on the attached link to access LegalOnline: ? ? You must certify your compliance with the Policies and Procedures within two weeks of your receipt of this message. The LegalOnline site will allow you to quickly and conveniently certify your compliance on-line with your SAP Personal ID number. If you have any questions concerning the Policies or Procedures please call Lance Schuler at extension 3-5419 Mark Haedicke at extension 3-6544 Alan Aronowitz at extension 3-3214 Bob Bruce at extension 5-7780 or Donna Lowry at extension 3-1939.,"Confidential Information; Securities Trading; Enron Wholesale Services; Legal; Policies and Procedures
    </ASSISTANT 2>","Formal, Authoritative
    </ASSISTANT 2>"
1151,Barton Talking Points,Here are Barton talking points per our conversation last night. We will separately send a favorable Washington Post article on FERC's meeting yesterday as it relates to RTOs.,"Barton; Talking Points; FERC
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
1152,Portal,Attached are some late night thoughts on the portal. Most of this is focussed on the portal for opinion leaders but some of it could be applicable to the comemrcial portal as well. Could you forward this to Palmer ... for some reason my address book doesn't pull him up when I'm off the system.,"Portal; Opinion Leaders
    </ASSISTANT 2>","Casual
    I'll forward your thoughts on the portal to Palmer as soon as I'm back at my desk.
    </ASSISTANT 2>"
1153,More Than Words,Dear Jeff There aren't any corporate speak words that can express what I feel so I will use plain English: I am thrilled that I will be working for you at Enron. I look forward to helping you and your team continue to transform Enron into the number one company in the world and into the best company in the world. I have sent my bio to Steve Kean and will send him my list of my preferred California contacts. By mid-week I will send you a cleaned-up version of the suggestions I outlined in our meeting. I look forward to the next steps. It is an honor to be working with you again. I pledge to you my very best. Sincerely [IMAGE] Contact Information E-mail kevinscott@onlinemailbox.net Phone (213) 926-2626 Fax (707) 516-0019 Traditional Mail PO Box 21074 ?Los Angeles CA 90021 - image001.png - image002.gif,"Employment; Enron
    </ASSISTANT 2>","Enthusiastic and Professional
    </ASSISTANT 2>"
1154,Confidential - Voicemail Messages,These were the messages in your voicemail: 1. 10/18/01 - Margaret Allen ....needed your advice on whether her sister should take job with Cal-Pine or Kinder Morgan 2. 10/19/01 - Adrianne Engler ....regarding candidantes that you were suppose to phone interview. (you have sent her an email since this) 3. 10/23/01 - Bob Shults(X3-0397)....they met with Nymex last week and are getting ready send the proposal ont eh document you saw last week. He wants to make sure that you are okay with this and dont have any issues.,"Voicemail; Confidential; Emails; Interviews; Proposals; Nymex
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
1155,Depart 1:05/Arrive 2:41,Meet with Commissioner Ebert in Biloxi - Confirmed 7/1/97 Contact is Paige - 601-436-4833,"Travel; Meetings
    </ASSISTANT 2>","Businesslike
    </ASSISTANT 2>"
